video_id,date,title,mp3_url
fbc-2020-01-26ss-in-hope-of-eternal-life,20200126,In Hope Of Eternal Life,http://fbcministries.net/sermons/Titus_Series/2020-01-26SS-In_Hope_Of_Eternal_Life.mp3
fbc-2020-01-22mw-elisha-the-son-of-shaphat,20200122,Elisha The Son Of Shaphat,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-01-22MW-Elisha_The_Son_Of_Shaphat.mp3
fbc-2020-01-19am-our-glorious-saviour,20200119,Our Glorious Saviour,http://fbcministries.net/sermons/Hebrews_Series/2020-01-19AM-Our_Glorious_Saviour.mp3
fbc-2020-01-19ss-grounded-and-settled,20200119,Grounded And Settled,http://fbcministries.net/sermons/2020-01-19SS-Grounded_And_Settled.mp3
fbc-2020-01-15mw-elijah-went-up-by-a-whirlwind-into-heaven,20200115,Elijah Went Up By A Whirlwind Into Heaven,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-01-15MW-Elijah_Went_Up_By_A_Whirlwind_Into_Heaven.mp3
fbc-2020-01-12am-looking-unto-jesus,20200112,Looking Unto Jesus,http://fbcministries.net/sermons/Hebrews_Series/2020-01-12AM-Looking_Unto_Jesus.mp3
fbc-2020-01-12pm-2020-vision,20200112,2020 Vision,http://fbcministries.net/sermons/2020-01-12PM-2020_Vision.mp3
fbc-2020-01-08mw-the-fire-of-god-consumed-them,20200108,The Fire Of God Consumed Them,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-01-08MW-The_Fire_Of_God_Consumed_Them.mp3
fbc-2019-12-29pm-i-have-finished-my-course,20191229,I Have Finished My Course,http://fbcministries.net/sermons/2019-12-29PM-I_Have_Finished_My_Course.mp3
fbc-2019-12-29am-run-your-race,20191229,Run Your Race,http://fbcministries.net/sermons/2019-12-29AM-Run_Your_Race.mp3
fbc-2019-12-22pm-fell-down-and-worshipped-him,20191222,Fell Down And Worshipped Him,http://fbcministries.net/sermons/2019-12-22PM-Fell_Down_And_Worshipped_Him.mp3
fbc-2019-12-22am-the-word-was-made-flesh,20191222,The Word Was Made Flesh,http://fbcministries.net/sermons/2019-12-22AM-The_Word_Was_Made_Flesh.mp3
fbc-2019-12-22ss-the-prince-of-peace,20191222,The Prince Of Peace,http://fbcministries.net/sermons/2019-12-22SS-The_Prince_Of_Peace.mp3
fbc-2019-12-18mw-it-is-elijah-the-tishbite,20191218,It Is Elijah The Tishbite,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2019-12-18MW-It_Is_Elijah_The_Tishbite.mp3
