video_id,title,description,publish_date,duration,view_count,like_count,url,thumbnail,processing_status,processing_date,transcript_path,embeddings_status,embeddings_date,embeddings_count
tekmD5z_NmE,"""He Had This Testimony"" Hebrews 11:5","Fellowship Baptist Church - Oakton, VA 
July 23, 2023 (Evening Worship)",20230724,1875,8,1,https://www.youtube.com/watch?v=tekmD5z_NmE,https://i.ytimg.com/vi/tekmD5z_NmE/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGHIgWCglMA8=&rs=AOn4CLBwd90hzx0GA3yFrLA8e78644OsUQ,processed,2025-04-16T01:21:23.876582,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\tekmD5z_NmE.json,pending,,0
1AnI1m5Yp2c,"""We Are His Workmanship"" Ephesians 2:10","Fellowship Baptist Church - Oakton, VA 
July 23, 2023 (Morning Worship)",20230723,3358,37,2,https://www.youtube.com/watch?v=1AnI1m5Yp2c,https://i.ytimg.com/vi/1AnI1m5Yp2c/maxresdefault.jpg,processed,2025-04-16T01:27:03.718334,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\1AnI1m5Yp2c.json,pending,,0
5XKsIBnHVcI,"""Jacob Wept For Joseph"" Genesis 37:31-35","Fellowship Baptist Church - Oakton, VA 
July 16, 2023 (Evening Worship)",20230717,2147,5,0,https://www.youtube.com/watch?v=5XKsIBnHVcI,https://i.ytimg.com/vi/5XKsIBnHVcI/maxresdefault.jpg,processed,2025-04-16T01:30:26.481295,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\5XKsIBnHVcI.json,pending,,0
XA-BnGEgWUA,"""God's Great Plan Of Redemption"" Galatians 4:4-5","Fellowship Baptist Church - Oakton, VA 
July 16, 2023 (Morning Worship)",20230716,2570,50,1,https://www.youtube.com/watch?v=XA-BnGEgWUA,https://i.ytimg.com/vi/XA-BnGEgWUA/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGHIgYig8MA8=&rs=AOn4CLBWYheRrfd3DhTmN82T5v0qXvCyTA,processed,2025-04-16T01:34:52.619474,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\XA-BnGEgWUA.json,pending,,0
-MUvGf11b5U,"""Joseph In The Pit"" Genesis 37:12-30","Fellowship Baptist Church - Oakton, VA 
July 9, 2023 (Evening Worship)",20230713,2461,8,0,https://www.youtube.com/watch?v=-MUvGf11b5U,https://i.ytimg.com/vi/-MUvGf11b5U/maxresdefault.jpg,processed,2025-04-16T08:12:08.201518,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\-MUvGf11b5U.json,pending,,0
XEMRceIDqSo,"""Get Thee To Zarephath"" I Kings 17:8-16","Fellowship Baptist Church - Oakton, VA 
July 9, 2023 (Morning Worship)",20230709,2417,10,1,https://www.youtube.com/watch?v=XEMRceIDqSo,https://i.ytimg.com/vi/XEMRceIDqSo/maxresdefault.jpg,processed,2025-04-16T08:16:02.836608,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\XEMRceIDqSo.json,pending,,0
jiYib4rm3vs,"""The Only Hope For America Is Jesus"" Romans 1:14-16","Fellowship Baptist Church - Oakton, VA 
July 2, 2023 (Morning Worship)",20230705,2898,8,0,https://www.youtube.com/watch?v=jiYib4rm3vs,https://i.ytimg.com/vi/jiYib4rm3vs/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGHIgYyg7MA8=&rs=AOn4CLBI1sUgf5A84IRX8-B4QqbTCuL1ug,processed,2025-04-16T08:20:27.557462,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\jiYib4rm3vs.json,pending,,0
DSAVnV2bHaY,"""The Dreams Of Joseph"" Genesis 37:5-11","Fellowship Baptist Church - Oakton, VA 
July 25, 2023 (Evening Worship)",20230626,2376,8,0,https://www.youtube.com/watch?v=DSAVnV2bHaY,https://i.ytimg.com/vi/DSAVnV2bHaY/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGHIgYig7MA8=&rs=AOn4CLBaMBUxHtAxGhE6OTs0rNeV9qF86g,processed,2025-04-16T08:24:18.808250,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\DSAVnV2bHaY.json,pending,,0
FEm43rSvhYg,"""Hide Thyself By The Brook Cherith"" I Kings 17:1-7","Fellowship Baptist Church - Oakton, VA 
July 25, 2023 (Morning Worship)",20230625,2752,8,0,https://www.youtube.com/watch?v=FEm43rSvhYg,https://i.ytimg.com/vi/FEm43rSvhYg/maxresdefault.jpg,processed,2025-04-16T08:28:45.347910,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\FEm43rSvhYg.json,pending,,0
U9hDqApAXB0,"""The Well Beloved Gaius"" III John 1-8","Fellowship Baptist Church - Oakton, VA 
June 18, 2023 (Morning Worship)",20230625,2663,4,0,https://www.youtube.com/watch?v=U9hDqApAXB0,https://i.ytimg.com/vi/U9hDqApAXB0/maxresdefault.jpg,processed,2025-04-16T08:33:07.755648,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\U9hDqApAXB0.json,pending,,0
oHhbZQxf4Do,"""Joseph Was Seventeen Years Old"" Genesis 37:1-4","Fellowship Baptist Church - Oakton, VA 
July 11, 2023 (Evening Worship)",20230614,2498,6,0,https://www.youtube.com/watch?v=oHhbZQxf4Do,https://i.ytimg.com/vi/oHhbZQxf4Do/maxresdefault.jpg,processed,2025-04-16T08:37:15.258226,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\oHhbZQxf4Do.json,pending,,0
